date,rank,pixel_id,x_m,y_m,predicted_lst_c
2026-08-11,1,R0253C0091,697575.0,3757815.0,41.25628
2026-08-11,2,R0237C0153,699435.0,3758295.0,41.2425
2026-08-11,3,R0168C0187,700455.0,3760365.0,41.242382
2026-08-11,4,R0253C0090,697545.0,3757815.0,41.228134
2026-08-11,5,R0247C0135,698895.0,3757995.0,41.2281
2026-08-11,6,R0247C0134,698865.0,3757995.0,41.2281
2026-08-11,7,R0243C0140,699045.0,3758115.0,41.2281
2026-08-11,8,R0240C0153,699435.0,3758205.0,41.2281
2026-08-11,9,R0224C0158,699585.0,3758685.0,41.2281
2026-08-11,10,R0240C0152,699405.0,3758205.0,41.2281
2026-08-11,11,R0240C0145,699195.0,3758205.0,41.2281
2026-08-11,12,R0243C0141,699075.0,3758115.0,41.2281
2026-08-11,13,R0245C0116,698325.0,3758055.0,41.2281
2026-08-11,14,R0250C0128,698685.0,3757905.0,41.2281
2026-08-11,15,R0241C0149,699315.0,3758175.0,41.2281
2026-08-11,16,R0239C0154,699465.0,3758235.0,41.2281
2026-08-11,17,R0242C0141,699075.0,3758145.0,41.2281
2026-08-11,18,R0242C0142,699105.0,3758145.0,41.2281
2026-08-11,19,R0241C0143,699135.0,3758175.0,41.2281
2026-08-11,20,R0223C0158,699585.0,3758715.0,41.2281
2026-08-11,21,R0242C0143,699135.0,3758145.0,41.2281
2026-08-11,22,R0235C0152,699405.0,3758355.0,41.2281
2026-08-11,23,R0238C0152,699405.0,3758265.0,41.2281
2026-08-11,24,R0239C0153,699435.0,3758235.0,41.2281
2026-08-11,25,R0239C0151,699375.0,3758235.0,41.2281
2026-08-11,26,R0239C0150,699345.0,3758235.0,41.2281
2026-08-11,27,R0249C0129,698715.0,3757935.0,41.2281
2026-08-11,28,R0246C0124,698565.0,3758025.0,41.2281
2026-08-11,29,R0249C0128,698685.0,3757935.0,41.2281
2026-08-11,30,R0248C0129,698715.0,3757965.0,41.2281
2026-08-11,31,R0234C0152,699405.0,3758385.0,41.2281
2026-08-11,32,R0238C0153,699435.0,3758265.0,41.2281
2026-08-11,33,R0240C0151,699375.0,3758205.0,41.2281
2026-08-11,34,R0240C0149,699315.0,3758205.0,41.2281
2026-08-11,35,R0239C0152,699405.0,3758235.0,41.2281
2026-08-11,36,R0241C0150,699345.0,3758175.0,41.2281
2026-08-11,37,R0229C0121,698475.0,3758535.0,41.226826
2026-08-11,38,R0241C0128,698685.0,3758175.0,41.21953
2026-08-11,39,R0231C0140,699045.0,3758475.0,41.21953
2026-08-11,40,R0215C0162,699705.0,3758955.0,41.21953
2026-08-11,41,R0216C0160,699645.0,3758925.0,41.21953
2026-08-11,42,R0240C0140,699045.0,3758205.0,41.21953
2026-08-11,43,R0240C0139,699015.0,3758205.0,41.21953
2026-08-11,44,R0245C0132,698805.0,3758055.0,41.21953
2026-08-11,45,R0240C0128,698685.0,3758205.0,41.21953
2026-08-11,46,R0216C0161,699675.0,3758925.0,41.21953
2026-08-11,47,R0215C0161,699675.0,3758955.0,41.21953
2026-08-11,48,R0241C0142,699105.0,3758175.0,41.21953
2026-08-11,49,R0240C0142,699105.0,3758205.0,41.21953
2026-08-11,50,R0240C0141,699075.0,3758205.0,41.21953
2026-08-11,51,R0241C0138,698985.0,3758175.0,41.21953
2026-08-11,52,R0240C0138,698985.0,3758205.0,41.21953
2026-08-11,53,R0255C0098,697785.0,3757755.0,41.21953
2026-08-11,54,R0239C0145,699195.0,3758235.0,41.21953
2026-08-11,55,R0255C0099,697815.0,3757755.0,41.21953
2026-08-11,56,R0244C0133,698835.0,3758085.0,41.21953
2026-08-11,57,R0246C0132,698805.0,3758025.0,41.21953
2026-08-11,58,R0240C0144,699165.0,3758205.0,41.21953
2026-08-11,59,R0217C0161,699675.0,3758895.0,41.21953
2026-08-11,60,R0217C0160,699645.0,3758895.0,41.21953
2026-08-11,61,R0180C0205,700995.0,3760005.0,41.21953
2026-08-11,62,R0239C0140,699045.0,3758235.0,41.21953
2026-08-11,63,R0239C0141,699075.0,3758235.0,41.21953
2026-08-11,64,R0234C0147,699255.0,3758385.0,41.21953
2026-08-11,65,R0215C0160,699645.0,3758955.0,41.21953
2026-08-11,66,R0234C0146,699225.0,3758385.0,41.21953
2026-08-11,67,R0239C0139,699015.0,3758235.0,41.21953
2026-08-11,68,R0239C0138,698985.0,3758235.0,41.21953
2026-08-11,69,R0220C0116,698325.0,3758805.0,41.213345
2026-08-11,70,R0252C0091,697575.0,3757845.0,41.20198
2026-08-11,71,R0226C0117,698355.0,3758625.0,41.198322
2026-08-11,72,R0227C0117,698355.0,3758595.0,41.198322
2026-08-11,73,R0225C0115,698295.0,3758655.0,41.17658
2026-08-11,74,R0225C0116,698325.0,3758655.0,41.17658
2026-08-11,75,R0226C0116,698325.0,3758625.0,41.17658
2026-08-11,76,R0233C0159,699615.0,3758415.0,41.174274
2026-08-11,77,R0245C0092,697605.0,3758055.0,41.173416
2026-08-11,78,R0255C0078,697185.0,3757755.0,41.173416
2026-08-11,79,R0249C0089,697515.0,3757935.0,41.173416
2026-08-11,80,R0225C0149,699315.0,3758655.0,41.173416
